timestamp,can_id,signal,value,label
1769455120.4962018,0x101,steering,0.0,replay
1769455120.4962018,0x102,throttle,0.0,replay
1769455120.4962018,0x103,brake,0.0,replay
1769455120.662833,0x100,speed,0.0,replay
1769455120.662833,0x101,steering,0.0,replay
1769455120.662833,0x102,throttle,0.0,replay
1769455120.662833,0x103,brake,0.0,replay
1769455120.9126985,0x100,speed,0.0,replay
1769455120.9126985,0x101,steering,0.0,replay
1769455120.9126985,0x102,throttle,0.0,replay
1769455120.9126985,0x103,brake,0.0,replay
1769455121.0124311,0x100,speed,0.0,replay
1769455121.0124311,0x101,steering,0.0,replay
1769455121.0124311,0x102,throttle,0.0,replay
1769455121.0124311,0x103,brake,0.0,replay
1769455121.2568855,0x100,speed,0.0,replay
1769455121.2568855,0x101,steering,0.0,replay
1769455121.2568855,0x102,throttle,0.0,replay
1769455121.2568855,0x103,brake,0.0,replay
1769455121.3326926,0x100,speed,0.0,replay
1769455121.3326926,0x101,steering,0.0,replay
1769455121.3326926,0x102,throttle,0.0,replay
1769455121.3326926,0x103,brake,0.0,replay
1769455121.4289472,0x100,speed,0.0,replay
1769455121.4289472,0x101,steering,0.0,replay
1769455121.4289472,0x102,throttle,0.0,replay
1769455121.4289472,0x103,brake,0.0,replay
1769455121.4957848,0x100,speed,0.0,replay
1769455121.4957848,0x101,steering,0.0,replay
1769455121.4957848,0x102,throttle,0.0,replay
1769455121.4957848,0x103,brake,0.0,replay
1769455121.5675774,0x100,speed,0.0,replay
1769455121.5675774,0x101,steering,0.0,replay
1769455121.5675774,0x102,throttle,0.0,replay
1769455121.5675774,0x103,brake,0.0,replay
1769455121.6698737,0x100,speed,0.0,replay
1769455121.6698737,0x101,steering,0.0,replay
1769455121.6698737,0x102,throttle,0.0,replay
1769455121.6698737,0x103,brake,0.0,replay
1769455121.818454,0x100,speed,0.0,replay
1769455121.818454,0x101,steering,0.0,replay
1769455121.818454,0x102,throttle,0.0,replay
1769455121.818454,0x103,brake,0.0,replay
1769455121.9341445,0x100,speed,0.0,replay
1769455121.9341445,0x101,steering,0.0,replay
1769455121.9341445,0x102,throttle,0.0,replay
1769455121.9341445,0x103,brake,0.0,replay
1769455122.2508101,0x100,speed,0.0,replay
1769455122.2508101,0x101,steering,0.0,replay
1769455122.2508101,0x102,throttle,0.0,replay
1769455122.2508101,0x103,brake,0.0,replay
1769455122.5431044,0x100,speed,0.0,replay
1769455122.5431044,0x101,steering,0.0,replay
1769455122.5431044,0x102,throttle,0.0,replay
1769455122.5431044,0x103,brake,0.0,replay
1769455122.6212802,0x100,speed,0.0,replay
1769455122.6212802,0x101,steering,0.0,replay
1769455122.6212802,0x102,throttle,0.0,replay
1769455122.6212802,0x103,brake,0.0,replay
1769455122.7331214,0x100,speed,0.0,replay
1769455122.7331214,0x101,steering,0.0,replay
1769455122.7331214,0x102,throttle,0.0,replay
1769455122.7331214,0x103,brake,0.0,replay
1769455122.8284762,0x100,speed,0.0,replay
1769455122.8284762,0x101,steering,0.0,replay
1769455122.8284762,0x102,throttle,0.0,replay
1769455122.8284762,0x103,brake,0.0,replay
1769455123.0310502,0x100,speed,0.0,replay
1769455123.0310502,0x101,steering,0.0,replay
1769455123.0310502,0x102,throttle,0.0,replay
1769455123.0310502,0x103,brake,0.0,replay
1769455123.194112,0x100,speed,0.0,replay
1769455123.194112,0x101,steering,0.0,replay
1769455123.194112,0x102,throttle,0.0,replay
1769455123.194112,0x103,brake,0.0,replay
1769455123.4244957,0x100,speed,0.0,replay
1769455123.4244957,0x101,steering,0.0,replay
1769455123.4244957,0x102,throttle,0.0,replay
1769455123.4244957,0x103,brake,0.0,replay
1769455123.7506242,0x100,speed,0.0,replay
1769455123.7506242,0x101,steering,0.0,replay
1769455123.7506242,0x102,throttle,0.0,replay
1769455123.7506242,0x103,brake,0.0,replay
